DATAFLOW,LAST UPDATE,freq,currency,estruct,ecase,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 100% of the average earning,2019,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 100% of the average earning,2020,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 100% of the average earning,2021,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 125% of the average earning,2018,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 125% of the average earning,2019,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 125% of the average earning,2020,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 125% of the average earning,2021,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 167% of the average earning,2018,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 167% of the average earning,2019,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 167% of the average earning,2020,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 167% of the average earning,2021,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 50% of the average earning,2018,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 50% of the average earning,2019,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 50% of the average earning,2020,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 50% of the average earning,2021,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 67% of the average earning,2018,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 67% of the average earning,2019,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 67% of the average earning,2020,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 67% of the average earning,2021,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 80% of the average earning,2018,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 80% of the average earning,2019,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 80% of the average earning,2020,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Family allowances,Single person without children earning 80% of the average earning,2021,0.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,One-earner couple with two children earning 100% of the average earning,2018,43629.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,One-earner couple with two children earning 100% of the average earning,2019,42975.51,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,One-earner couple with two children earning 100% of the average earning,2020,44272.28,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,One-earner couple with two children earning 100% of the average earning,2021,46939.93,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, both earning 100% of the average earning",2018,87259.88,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, both earning 100% of the average earning",2019,85951.03,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, both earning 100% of the average earning",2020,88544.56,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, both earning 100% of the average earning",2021,93879.86,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2018,58027.82,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2019,57157.43,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2020,58882.13,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2021,63297.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2018,72862.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2019,71769.11,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2020,73934.71,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2021,78389.68,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple without children, both earning 100% of the average earning",2018,87259.88,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple without children, both earning 100% of the average earning",2019,85951.03,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple without children, both earning 100% of the average earning",2020,88544.56,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple without children, both earning 100% of the average earning",2021,93879.86,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2018,58027.82,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2019,57157.43,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2020,58882.13,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2021,63297.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person with two children earning 67% of the average earning,2018,29232.06,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person with two children earning 67% of the average earning,2019,28793.59,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person with two children earning 67% of the average earning,2020,29662.43,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person with two children earning 67% of the average earning,2021,31449.75,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 100% of the average earning,2018,43629.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 100% of the average earning,2019,42975.51,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 100% of the average earning,2020,44272.28,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 100% of the average earning,2021,46939.93,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 125% of the average earning,2018,54537.42,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 125% of the average earning,2019,53719.39,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 125% of the average earning,2020,55340.35,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 125% of the average earning,2021,58674.91,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 167% of the average earning,2018,72862.0,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 167% of the average earning,2019,71769.11,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 167% of the average earning,2020,73934.71,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 167% of the average earning,2021,78389.68,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 50% of the average earning,2018,21814.97,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 50% of the average earning,2019,21487.76,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 50% of the average earning,2020,22136.14,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 50% of the average earning,2021,23469.97,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 67% of the average earning,2018,29232.06,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 67% of the average earning,2019,28793.59,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 67% of the average earning,2020,29662.43,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 67% of the average earning,2021,31449.75,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 80% of the average earning,2018,34903.95,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 80% of the average earning,2019,34380.41,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 80% of the average earning,2020,35417.82,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Gross earning,Single person without children earning 80% of the average earning,2021,37551.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,One-earner couple with two children earning 100% of the average earning,2018,35710.3,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,One-earner couple with two children earning 100% of the average earning,2019,35430.68,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,One-earner couple with two children earning 100% of the average earning,2020,36399.65,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,One-earner couple with two children earning 100% of the average earning,2021,38619.82,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, both earning 100% of the average earning",2018,68398.66,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, both earning 100% of the average earning",2019,67858.27,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, both earning 100% of the average earning",2020,69766.33,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, both earning 100% of the average earning",2021,74105.55,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2018,47791.42,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2019,47451.6,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2020,48774.83,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2021,52477.24,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2018,58388.94,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2019,57965.67,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2020,59588.8,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2021,63518.65,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",2018,65376.72,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",2019,64855.18,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",2020,66733.37,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, both earning 100% of the average earning",2021,70971.47,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2018,44769.48,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2019,44448.51,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2020,45741.87,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2021,49343.15,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person with two children earning 67% of the average earning,2018,25700.58,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person with two children earning 67% of the average earning,2019,25538.08,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person with two children earning 67% of the average earning,2020,26222.11,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person with two children earning 67% of the average earning,2021,28032.91,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 100% of the average earning,2018,32688.36,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 100% of the average earning,2019,32427.59,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 100% of the average earning,2020,33366.68,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 100% of the average earning,2021,35485.73,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 125% of the average earning,2018,38323.72,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 125% of the average earning,2019,38495.72,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 125% of the average earning,2020,39773.05,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 125% of the average earning,2021,42261.27,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 167% of the average earning,2018,46362.97,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 167% of the average earning,2019,46488.96,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 167% of the average earning,2020,48263.83,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 167% of the average earning,2021,51227.11,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 50% of the average earning,2018,17379.83,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 50% of the average earning,2019,17278.24,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 50% of the average earning,2020,17783.74,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 50% of the average earning,2021,19162.27,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 67% of the average earning,2018,22678.63,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 67% of the average earning,2019,22534.99,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 67% of the average earning,2020,23189.15,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 67% of the average earning,2021,24898.82,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 80% of the average earning,2018,26730.47,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 80% of the average earning,2019,26552.45,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 80% of the average earning,2020,27325.73,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Net earning,Single person without children earning 80% of the average earning,2021,29215.67,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,One-earner couple with two children earning 100% of the average earning,2018,3051.19,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,One-earner couple with two children earning 100% of the average earning,2019,3003.09,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,One-earner couple with two children earning 100% of the average earning,2020,3099.73,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,One-earner couple with two children earning 100% of the average earning,2021,3281.92,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, both earning 100% of the average earning",2018,6102.38,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, both earning 100% of the average earning",2019,6006.18,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, both earning 100% of the average earning",2020,6199.45,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, both earning 100% of the average earning",2021,6563.84,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2018,4055.25,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2019,3994.67,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2020,4120.25,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, one earning 100% and the other 33% of the average earning",2021,4435.03,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2018,5098.31,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2019,5014.59,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2020,5178.93,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple with two children, one earning 100% and the other 67% of the average earning",2021,5479.72,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple without children, both earning 100% of the average earning",2018,6102.38,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple without children, both earning 100% of the average earning",2019,6006.18,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple without children, both earning 100% of the average earning",2020,6199.45,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple without children, both earning 100% of the average earning",2021,6563.84,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2018,4055.25,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2019,3994.67,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2020,4120.25,,
ESTAT:EARN_NT_NET(1.0),29/04/25 23:00:00,Annual,Euro,Social Security,"Two-earner couple without children, one earning 100% and the other 33% of the average earning",2021,4435.03,,
